2020-09-30 | 14:07:23.502 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 521 ms
2020-09-30 | 14:07:23.531 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 9404 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:07:23.531 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:07:23.617 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:07:23.626 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:07:23.627 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:07:23.627 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:07:23.641 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:07:23.641 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 108 ms
2020-09-30 | 14:07:23.663 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:07:23.681 | [] |  INFO | OptionalLiveReloadServer       | (    58) | LiveReload server is running on port 35729
2020-09-30 | 14:07:23.687 | [] |  INFO | TomcatWebServer                | (   220) | Tomcat started on port(s): 8080 (http) with context path '/api/v1'
2020-09-30 | 14:07:23.689 | [] |  INFO | StorageAppApplication          | (    61) | Started StorageAppApplication in 0.179 seconds (JVM running for 5124.135)
2020-09-30 | 14:07:23.690 | [] |  INFO | ConditionEvaluationDeltaLoggingListener | (    63) | Condition evaluation unchanged
2020-09-30 | 14:07:23.698 | [] |  WARN | OptionalLiveReloadServer       | (    61) | Unable to start LiveReload server
2020-09-30 | 14:07:23.714 | [] |  WARN | AnnotationConfigServletWebServerApplicationContext | (   559) | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
2020-09-30 | 14:07:23.715 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:07:23.716 | [] |  INFO | StandardService                | (   173) | Stopping service [Tomcat]
2020-09-30 | 14:07:23.724 | [] |  INFO | ConditionEvaluationReportLoggingListener | (   136) | 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-30 | 14:07:23.726 | [] | ERROR | LoggingFailureAnalysisReporter | (    40) | 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2020-09-30 | 14:10:01.056 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-30 | 14:10:01.057 | [] |  INFO | DispatcherServlet              | (   525) | Initializing Servlet 'dispatcherServlet'
2020-09-30 | 14:10:01.058 | [] |  INFO | DispatcherServlet              | (   547) | Completed initialization in 1 ms
2020-09-30 | 14:10:07.849 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:10:08.439 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:10:14.585 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:10:14.632 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 9404 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:10:14.632 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
